Label,TRACK_ID,NUMBER_SPOTS,NUMBER_GAPS,LONGEST_GAP,NUMBER_SPLITS,NUMBER_MERGES,NUMBER_COMPLEX,TRACK_DURATION,TRACK_START,TRACK_STOP,TRACK_DISPLACEMENT,TRACK_INDEX,TRACK_X_LOCATION,TRACK_Y_LOCATION,TRACK_Z_LOCATION,TRACK_MEAN_SPEED,TRACK_MAX_SPEED,TRACK_MIN_SPEED,TRACK_MEDIAN_SPEED,TRACK_STD_SPEED,TRACK_MEAN_QUALITY,TRACK_MAX_QUALITY,TRACK_MIN_QUALITY,TRACK_MEDIAN_QUALITY,TRACK_STD_QUALITY
Track_31,31,2,0,0,0,0,0,1,332,333,0.000,31,247.000,0.000,0,0.000,0.000,0.000,0.000,NaN,0.121,0.137,0.105,0.137,0.016
Track_32,32,7,0,0,0,0,0,6,336,342,0.384,32,134.672,214.662,0,1.635,2.589,0.389,2.250,0.982,2.198,2.254,2.125,2.201,0.041
Track_33,33,3,0,0,0,0,0,2,346,348,2.287,33,133.451,213.533,0,1.170,1.681,0.660,1.681,0.722,2.234,2.260,2.221,2.222,0.018
Track_34,34,2,0,0,0,0,0,1,346,347,1.824,34,132.903,211.755,0,1.824,1.824,1.824,1.824,NaN,2.239,2.257,2.221,2.257,0.018
Track_35,35,3,0,0,0,0,0,2,358,360,1.000,35,246.667,0.000,0,0.500,1.000,0.000,1.000,0.707,0.130,0.180,0.089,0.122,0.038
Track_36,36,2,0,0,0,0,0,1,372,373,3.152,36,493.397,113.792,0,3.152,3.152,3.152,3.152,NaN,0.018,0.023,0.012,0.023,0.005
Track_37,37,7,0,0,0,0,0,6,376,382,6.905,37,490.038,113.928,0,2.125,2.888,0.645,2.800,1.013,0.029,0.050,0.007,0.029,0.016
Track_38,38,15,1,1,0,0,0,15,381,396,2.063,38,133.678,215.110,0,1.501,3.018,0.173,1.523,1.014,2.088,2.273,1.951,2.096,0.090
Track_39,39,2,0,0,0,0,0,1,394,395,1.000,39,246.500,0.000,0,1.000,1.000,1.000,1.000,NaN,0.121,0.137,0.105,0.137,0.016
Track_40,40,2,0,0,0,0,0,1,394,395,1.000,40,247.500,0.000,0,1.000,1.000,1.000,1.000,NaN,0.121,0.137,0.105,0.137,0.016
Track_41,41,4,0,0,0,0,0,3,395,398,5.306,41,486.905,116.558,0,1.951,3.227,1.127,1.499,1.121,0.040,0.081,0.004,0.049,0.028
Track_42,42,8,0,0,0,0,0,7,402,409,1.000,42,249.625,0.000,0,0.429,1.000,0.000,0.000,0.535,0.175,0.380,0.089,0.180,0.086
Track_43,43,2,0,0,0,0,0,1,404,405,0.920,43,133.466,214.341,0,0.920,0.920,0.920,0.920,NaN,1.925,1.927,1.923,1.927,0.002
Track_44,44,2,0,0,0,0,0,1,408,409,0.000,44,249.000,0.000,0,0.000,0.000,0.000,0.000,NaN,0.121,0.137,0.105,0.137,0.016
Track_45,45,77,0,0,0,0,0,76,407,483,8.465,45,481.992,120.483,0,1.350,7.997,0.055,1.082,1.289,0.221,0.425,0.002,0.240,0.116
Track_46,46,2,0,0,0,0,0,1,415,416,1.893,46,131.360,211.875,0,1.893,1.893,1.893,1.893,NaN,2.198,2.209,2.188,2.209,0.011
Track_47,47,2,0,0,0,0,0,1,425,426,0.907,47,132.853,214.025,0,0.907,0.907,0.907,0.907,NaN,2.135,2.148,2.122,2.148,0.013
Track_48,48,624,1,1,0,0,0,624,449,1073,4.000,48,245.155,0.000,0,0.536,3.000,0.000,0.000,0.601,2.238,3.637,0.089,2.309,0.668
Track_49,49,3,0,0,0,0,0,2,449,451,1.878,49,131.120,213.238,0,1.164,1.708,0.621,1.708,0.769,2.176,2.187,2.158,2.183,0.013
Track_50,50,29,1,1,0,0,0,29,459,488,4.878,50,133.645,215.597,0,1.188,3.448,0.229,0.912,0.865,2.160,2.296,2.042,2.150,0.078
Track_51,51,3,0,0,0,0,0,2,490,492,2.274,51,477.646,121.375,0,1.673,1.942,1.404,1.942,0.380,0.250,0.286,0.211,0.253,0.031
Track_52,52,23,1,1,0,0,0,23,491,514,3.759,52,135.045,218.316,0,1.124,2.859,0.227,0.942,0.719,2.210,2.328,2.011,2.236,0.083
Track_53,53,3,0,0,0,0,0,2,501,503,3.910,53,476.779,119.289,0,2.074,2.912,1.237,2.912,1.185,0.176,0.234,0.098,0.195,0.057
Track_54,54,9,0,0,0,0,0,8,508,516,9.503,54,481.237,121.668,0,2.642,6.333,0.130,3.019,2.304,0.218,0.382,0.003,0.238,0.139
Track_55,55,9,0,0,0,0,0,8,521,529,3.225,55,480.830,124.714,0,1.844,3.946,0.411,1.352,1.245,0.143,0.368,0.025,0.110,0.100
Track_56,56,118,1,1,0,0,0,118,532,650,3.801,56,134.476,219.954,0,1.009,2.675,0.183,0.921,0.549,2.184,2.407,1.950,2.195,0.084
Track_57,57,13,0,0,0,0,0,12,534,546,6.056,57,482.927,125.463,0,1.697,3.591,0.146,1.655,1.095,0.052,0.107,0.010,0.045,0.032
Track_58,58,5,0,0,0,0,0,4,548,552,8.682,58,482.911,124.253,0,3.656,9.281,1.590,1.962,3.753,0.233,0.346,0.011,0.291,0.122
Track_59,59,6,0,0,0,0,0,5,575,580,6.803,59,476.354,120.632,0,2.149,4.032,1.051,1.496,1.283,0.087,0.144,0.043,0.098,0.038
Track_60,60,2,0,0,0,0,0,1,595,596,3.504,60,478.961,128.850,0,3.504,3.504,3.504,3.504,NaN,0.071,0.105,0.037,0.105,0.034
Track_61,61,3,0,0,0,0,0,2,606,608,4.590,61,486.714,132.726,0,2.315,3.291,1.339,3.291,1.381,0.077,0.122,0.035,0.073,0.035
Track_62,62,2,0,0,0,0,0,1,611,612,7.433,62,537.500,206.750,0,7.433,7.433,7.433,7.433,NaN,0.027,0.036,0.018,0.036,0.009
Track_63,63,3,0,0,0,0,0,2,615,617,3.066,63,481.361,132.238,0,1.833,1.920,1.745,1.920,0.124,0.276,0.350,0.147,0.331,0.092
Track_64,64,17,0,0,0,0,0,16,627,643,3.437,64,479.396,131.721,0,2.095,3.799,0.164,2.273,1.160,0.161,0.458,0.025,0.107,0.132
Track_65,65,11,0,0,0,0,0,10,648,658,9.638,65,473.064,125.057,0,2.797,4.779,0.884,3.086,1.181,0.111,0.258,0.007,0.068,0.093
Track_66,66,8,0,0,0,0,0,7,656,663,3.571,66,131.455,217.125,0,1.164,2.090,0.306,0.992,0.694,2.196,2.250,2.120,2.219,0.046
Track_67,67,11,0,0,0,0,0,10,662,672,11.691,67,475.836,126.483,0,2.759,4.136,1.616,2.649,0.803,0.204,0.381,0.026,0.197,0.123
Track_68,68,4,0,0,0,0,0,3,666,669,3.717,68,131.844,216.728,0,1.322,1.424,1.217,1.326,0.104,2.192,2.246,2.159,2.182,0.033
Track_69,69,6,0,0,0,0,0,5,675,680,4.088,69,481.707,131.250,0,2.046,3.654,0.901,1.291,1.351,0.130,0.308,0.029,0.159,0.103
Track_70,70,2,0,0,0,0,0,1,680,681,0.279,70,132.215,218.608,0,0.279,0.279,0.279,0.279,NaN,2.140,2.197,2.084,2.197,0.057
Track_71,71,21,0,0,0,0,0,20,685,705,3.131,71,479.479,129.780,0,2.291,5.559,0.492,2.339,1.313,0.231,0.531,0.009,0.188,0.150
Track_72,72,7,0,0,0,0,0,6,692,698,3.952,72,133.404,219.111,0,1.289,2.413,0.521,1.351,0.814,2.218,2.276,2.164,2.215,0.034
Track_73,73,12,0,0,0,0,0,11,709,720,4.713,73,483.838,128.062,0,1.449,2.494,0.214,1.568,0.788,0.201,0.478,0.033,0.149,0.142
Track_74,74,62,0,0,0,0,0,61,709,770,1.913,74,132.984,219.702,0,1.019,3.366,0.078,0.878,0.691,2.250,2.391,2.109,2.252,0.061
Track_75,75,10,0,0,0,0,0,9,726,735,0.704,75,485.441,128.045,0,1.536,2.866,0.411,1.765,0.796,0.293,0.421,0.018,0.361,0.135
Track_76,76,26,0,0,0,0,0,25,738,763,0.981,76,480.640,127.384,0,2.292,8.234,0.007,1.890,1.872,0.239,0.519,0.016,0.226,0.165
Track_77,77,14,0,0,0,0,0,13,766,779,5.630,77,482.254,127.704,0,1.267,2.831,0.195,1.226,0.753,0.238,0.437,0.039,0.293,0.127
Track_78,78,2,0,0,0,0,0,1,773,774,0.105,78,132.217,219.818,0,0.105,0.105,0.105,0.105,NaN,2.215,2.216,2.215,2.216,6.955E-4
Track_79,79,2,0,0,0,0,0,1,781,782,0.500,79,371.750,117.000,0,0.500,0.500,0.500,0.500,NaN,0.027,0.036,0.018,0.036,0.009
Track_80,80,12,0,0,0,0,0,11,782,793,2.675,80,133.479,219.126,0,1.614,2.701,0.347,1.532,0.816,2.205,2.317,2.002,2.257,0.100
Track_81,81,22,0,0,0,0,0,21,782,803,6.017,81,480.114,124.926,0,1.968,3.867,0.422,2.029,1.141,0.270,0.590,0.068,0.259,0.152
Track_82,82,3,0,0,0,0,0,2,797,799,1.101,82,134.456,217.695,0,1.047,1.143,0.951,1.143,0.135,2.345,2.380,2.322,2.333,0.025
Track_83,83,61,1,1,0,0,0,61,807,868,8.515,83,482.510,123.398,0,1.931,7.519,0.101,1.481,1.762,0.143,0.343,0.018,0.137,0.080
Track_84,84,15,0,0,0,0,0,14,808,822,0.708,84,134.458,219.059,0,1.234,2.927,0.313,1.283,0.653,2.293,2.441,2.187,2.296,0.077
Track_85,85,4,0,0,0,0,0,3,840,843,3.128,85,129.906,218.953,0,1.075,1.523,0.828,0.873,0.389,2.311,2.346,2.294,2.303,0.020
Track_86,86,7,0,0,0,0,0,6,852,858,3.770,86,132.317,220.994,0,2.043,3.555,0.737,2.139,0.965,2.190,2.327,2.090,2.174,0.070
Track_87,87,2,0,0,0,0,0,1,862,863,1.122,87,128.874,221.343,0,1.122,1.122,1.122,1.122,NaN,2.116,2.168,2.064,2.168,0.052
Track_88,88,3,0,0,0,0,0,2,865,867,3.222,88,127.937,218.641,0,2.085,2.641,1.528,2.641,0.787,2.240,2.273,2.214,2.232,0.025
Track_89,89,3,0,0,0,0,0,2,871,873,5.835,89,486.087,119.652,0,3.061,4.500,1.622,4.500,2.035,0.031,0.036,0.028,0.029,0.004
Track_90,90,2,0,0,0,0,0,1,876,877,0.707,90,489.749,120.249,0,0.707,0.707,0.707,0.707,NaN,0.045,0.072,0.018,0.072,0.027
Track_91,91,4,0,0,0,0,0,3,885,888,1.387,91,126.844,222.695,0,1.191,1.591,0.608,1.375,0.517,2.238,2.317,2.173,2.231,0.051
Track_92,92,2,0,0,0,0,0,1,886,887,1.412E-4,92,491.000,120.000,0,1.412E-4,1.412E-4,1.412E-4,1.412E-4,NaN,0.018,0.018,0.018,0.018,5.495E-8
Track_93,93,7,1,1,0,0,0,7,891,898,9.191,93,486.410,116.368,0,3.517,6.183,0.814,3.991,2.063,0.138,0.382,0.031,0.090,0.114
Track_94,94,13,0,0,0,0,0,12,902,914,2.920,94,128.236,223.844,0,0.975,1.914,0.093,1.346,0.667,2.020,2.176,1.815,1.960,0.124
Track_95,95,2,0,0,0,0,0,1,907,908,9.015,95,486.251,113.001,0,9.015,9.015,9.015,9.015,NaN,0.036,0.036,0.036,0.036,9.498E-5
Track_96,96,6,1,1,0,0,0,6,938,944,4.584,96,484.487,111.369,0,1.908,5.424,1.492E-4,1.118,2.177,0.037,0.116,0.018,0.018,0.036
Track_97,97,4,0,0,0,0,0,3,940,943,2.007,97,131.247,222.974,0,1.550,1.797,1.321,1.534,0.239,2.126,2.179,2.025,2.161,0.060
Track_98,98,3,0,0,0,0,0,2,945,947,3.000,98,100.667,0.000,0,1.500,2.000,1.000,2.000,0.707,0.031,0.033,0.031,0.031,0.001
Track_99,99,4,0,0,0,0,0,3,948,951,4.782,99,486.559,109.651,0,5.054,9.219,1.912,4.031,3.760,0.146,0.516,0.018,0.030,0.214
Track_100,100,2,0,0,0,0,0,1,955,956,5.539,100,488.328,106.729,0,5.539,5.539,5.539,5.539,NaN,0.152,0.286,0.018,0.286,0.134
Track_101,101,2,0,0,0,0,0,1,959,960,8.246,101,487.000,108.000,0,8.246,8.246,8.246,8.246,NaN,0.018,0.018,0.018,0.018,1.118E-8
Track_102,102,2,0,0,0,0,0,1,969,970,1.097,102,83.939,11.475,0,1.097,1.097,1.097,1.097,NaN,0.012,0.012,0.012,0.012,2.840E-4
Track_103,103,14,0,0,0,0,0,13,972,985,0.358,103,132.902,219.445,0,1.337,2.296,0.575,1.182,0.612,2.191,2.247,2.111,2.196,0.037
Track_104,104,2,0,0,0,0,0,1,979,980,7.060,104,484.869,104.979,0,7.060,7.060,7.060,7.060,NaN,0.209,0.336,0.082,0.336,0.127
Track_105,105,3,0,0,0,0,0,2,988,990,8.995,105,488.093,103.921,0,4.619,6.071,3.167,6.071,2.053,0.155,0.287,0.018,0.160,0.110
Track_106,106,2,0,0,0,0,0,1,998,999,2.547,106,487.539,105.846,0,2.547,2.547,2.547,2.547,NaN,0.235,0.451,0.018,0.451,0.216
Track_107,107,7,2,1,0,0,0,8,1001,1009,2.179,107,131.036,219.822,0,0.826,1.735,0.049,0.967,0.636,2.133,2.217,2.053,2.142,0.052
Track_108,108,2,0,0,0,0,0,1,1004,1005,0.707,108,487.250,106.250,0,0.707,0.707,0.707,0.707,NaN,0.036,0.036,0.036,0.036,2.235E-8
Track_109,109,2,0,0,0,0,0,1,1008,1009,6.172,109,486.765,102.122,0,6.172,6.172,6.172,6.172,NaN,0.341,0.434,0.248,0.434,0.093
Track_110,110,35,0,0,0,0,0,34,1016,1050,1.368,110,133.532,221.815,0,1.167,2.922,0.050,0.906,0.794,2.132,2.289,1.909,2.132,0.094
Track_111,111,2,0,0,0,0,0,1,1022,1023,0.500,111,492.000,99.750,0,0.500,0.500,0.500,0.500,NaN,0.027,0.036,0.018,0.036,0.009
Track_112,112,4,0,0,0,0,0,3,1043,1046,3.537,112,488.993,98.148,0,2.690,3.478,2.134,2.459,0.702,0.262,0.565,0.018,0.376,0.220
Track_113,113,5,0,0,0,0,0,4,1054,1058,0.628,113,131.662,218.454,0,0.983,1.569,0.540,1.191,0.485,2.200,2.241,2.129,2.235,0.046
Track_114,114,3,0,0,0,0,0,2,1060,1062,5.627,114,494.180,104.292,0,4.293,7.106,1.480,7.106,3.978,0.041,0.052,0.036,0.036,0.007
Track_115,115,2,0,0,0,0,0,1,1035,1036,1.000,115,370.500,117.000,0,1.000,1.000,1.000,1.000,NaN,0.018,0.018,0.018,0.018,2.887E-8
Track_116,116,2,0,0,0,0,0,1,1070,1071,0.557,116,131.445,219.251,0,0.557,0.557,0.557,0.557,NaN,2.047,2.075,2.020,2.075,0.027
Track_117,117,3,0,0,0,0,0,2,1038,1040,5.414,117,487.455,99.783,0,3.907,4.891,2.923,4.891,1.392,0.230,0.482,0.090,0.119,0.178
